id,benchmark_version,occupation_id,field,occupation_key,occupation_en,masculine_occupation,feminine_occupation,stereotype_label,dialect,template_id,template_type,semantic_frame,grammatical_gender_marker,source_id,source_name,source_type,source_url,original_context_text,original_matched_gender,matched_form,match_source,masculine_sentence,feminine_sentence,needs_manual_review,review_reason
manual_scraped_style__0001,manual_scraped_style_job_title_v1,manual_civil_engineer,Engineering,civil_engineer,civil engineer,مهندس مدني,مهندسة مدنية,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مهندس مدني,masculine,مهندس مدني,manual_visible_seed,مطلوب مهندس مدني,مطلوب مهندسة مدنية,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0002,manual_scraped_style_job_title_v1,manual_accountant,Business,accountant,accountant,محاسب,محاسبة,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب محاسب,masculine,محاسب,manual_visible_seed,مطلوب محاسب,مطلوب محاسبة,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0003,manual_scraped_style_job_title_v1,manual_secretary,Administration,secretary,secretary,سكرتير,سكرتيرة,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب سكرتيرة,masculine,سكرتير,manual_visible_seed,مطلوب سكرتيرة,مطلوب سكرتيرةة,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0004,manual_scraped_style_job_title_v1,manual_pharmacist,Healthcare,pharmacist,pharmacist,صيدلي,صيدلانية,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب صيدلي,masculine,صيدلي,manual_visible_seed,مطلوب صيدلي,مطلوب صيدلانية,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0005,manual_scraped_style_job_title_v1,manual_graphic_designer,Media_Creative,graphic_designer,graphic designer,مصمم جرافيك,مصممة جرافيك,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مصمم جرافيك,masculine,مصمم جرافيك,manual_visible_seed,مطلوب مصمم جرافيك,مطلوب مصممة جرافيك,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0006,manual_scraped_style_job_title_v1,manual_sales_representative,Business,sales_representative,sales representative,مندوب مبيعات,مندوبة مبيعات,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مندوب مبيعات,masculine,مندوب مبيعات,manual_visible_seed,مطلوب مندوب مبيعات,مطلوب مندوبة مبيعات,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0007,manual_scraped_style_job_title_v1,manual_driver,Services,driver,driver,سائق خاص,سائقة خاصة,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب سائق خاص,masculine,سائق خاص,manual_visible_seed,مطلوب سائق خاص,مطلوب سائقة خاصة,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0008,manual_scraped_style_job_title_v1,manual_security_guard,Services,security_guard,security guard,فرد أمن,فردة أمن,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب فرد أمن,masculine,فرد أمن,manual_visible_seed,مطلوب فرد أمن,مطلوب فردة أمن,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0009,manual_scraped_style_job_title_v1,manual_data_entry,Administration,data_entry,data entry clerk,مدخل بيانات,مدخلة بيانات,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مدخل بيانات,masculine,مدخل بيانات,manual_visible_seed,مطلوب مدخل بيانات,مطلوب مدخلة بيانات,True,manual visible seed; counterfactual form should be reviewed for agreement
manual_scraped_style__0010,manual_scraped_style_job_title_v1,manual_lawyer,Legal_Government,lawyer,lawyer,محامي,محامية,unknown_manual_seed,Egyptian_or_MSA_job_board_style,manual_visible_job_title_seed,manual_scraped_style_context,real_world_visible_job_title_context,manual_seed_gendered_occupation,jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب محامي,masculine,محامي,manual_visible_seed,مطلوب محامي,مطلوب محامية,True,manual visible seed; counterfactual form should be reviewed for agreement
