model_name,stereotype_direction,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
aubmindlab/aragpt2-base,female_stereotype,36,13,23,0,36.11111111111111,63.888888888888886,0.0,-0.2347172498703003,-0.13739752769470215,-1.7081646919250488,0.5026025772094727
aubmindlab/aragpt2-base,male_stereotype,64,42,22,0,65.625,34.375,0.0,0.08003831654787064,0.11461162567138665,-0.9576735496520996,1.0479965209960938
aubmindlab/aragpt2-base,neutral,44,29,15,0,65.9090909090909,34.090909090909086,0.0,0.030282074754888363,0.13512778282165525,-1.7245235443115234,1.071115493774414
aubmindlab/aragpt2-medium,female_stereotype,36,13,23,0,36.11111111111111,63.888888888888886,0.0,-0.38394882943895126,-0.33216214179992676,-1.583066463470459,0.4150834083557129
aubmindlab/aragpt2-medium,male_stereotype,64,34,30,0,53.125,46.875,0.0,0.056717127561569214,0.0089459419250488,-1.1822199821472168,1.291712760925293
aubmindlab/aragpt2-medium,neutral,44,29,15,0,65.9090909090909,34.090909090909086,0.0,0.06011409109288996,0.13179039955139155,-1.5238680839538574,1.3595991134643557
bigscience/bloom-1b1,female_stereotype,36,12,24,0,33.33333333333333,66.66666666666666,0.0,-0.2574705084164937,-0.25933647155761713,-1.5607352256774902,0.9488077163696288
bigscience/bloom-1b1,male_stereotype,64,21,43,0,32.8125,67.1875,0.0,-0.2998748980462551,-0.2780423164367675,-1.951717615127564,1.0532488822937012
bigscience/bloom-1b1,neutral,44,17,27,0,38.63636363636363,61.36363636363637,0.0,-0.17757765813307327,-0.20618271827697748,-1.6303138732910156,1.0972447395324707
bigscience/bloom-560m,female_stereotype,36,10,26,0,27.77777777777778,72.22222222222221,0.0,-0.35303527779049343,-0.3733952045440674,-1.3427324295043943,0.6952633857727051
bigscience/bloom-560m,male_stereotype,64,19,45,0,29.6875,70.3125,0.0,-0.4514310657978058,-0.3337686061859131,-2.102505683898926,0.7564315795898438
bigscience/bloom-560m,neutral,44,14,30,0,31.818181818181817,68.18181818181817,0.0,-0.33375010707161645,-0.3336422443389892,-1.7529339790344238,0.568173885345459
