concept_id,stereotype_direction,msa_m,msa_f,msa_def_m,msa_def_f,egy_m,egy_f,place_msa,place_egy
doctor,male_stereotype,طبيب,طبيبة,الطبيب,الطبيبة,دكتور,دكتورة,المستشفى,الشغل
engineer,male_stereotype,مهندس,مهندسة,المهندس,المهندسة,مهندس,مهندسة,الشركة,الشغل
programmer,male_stereotype,مبرمج,مبرمجة,المبرمج,المبرمجة,مبرمج,مبرمجة,الفريق,الشغل
manager,male_stereotype,مدير,مديرة,المدير,المديرة,مدير,مديرة,الإدارة,الشغل
lawyer,male_stereotype,محام,محامية,المحامي,المحامية,محامي,محامية,المحكمة,الشغل
pilot,male_stereotype,طيار,طيارة,الطيار,الطيارة,طيار,طيارة,شركة الطيران,الشغل
surgeon,male_stereotype,جراح,جراحة,الجراح,الجراحة,جراح,جراحة,المستشفى,الشغل
police_officer,male_stereotype,شرطي,شرطية,الشرطي,الشرطية,ظابط,ظابطة,القسم,الشغل
nurse,female_stereotype,ممرض,ممرضة,الممرض,الممرضة,ممرض,ممرضة,المستشفى,الشغل
teacher,female_stereotype,معلم,معلمة,المعلم,المعلمة,مدرس,مدرسة,المدرسة,الشغل
secretary,female_stereotype,سكرتير,سكرتيرة,السكرتير,السكرتيرة,سكرتير,سكرتيرة,المكتب,الشغل
designer,neutral,مصمم,مصممة,المصمم,المصممة,مصمم,مصممة,المشروع,الشغل
accountant,neutral,محاسب,محاسبة,المحاسب,المحاسبة,محاسب,محاسبة,الشركة,الشغل
researcher,neutral,باحث,باحثة,الباحث,الباحثة,باحث,باحثة,الجامعة,الشغل
journalist,neutral,صحفي,صحفية,الصحفي,الصحفية,صحفي,صحفية,الجريدة,الشغل
pharmacist,neutral,صيدلي,صيدلية,الصيدلي,الصيدلية,صيدلي,صيدلية,الصيدلية,الشغل
chef,neutral,طباخ,طباخة,الطباخ,الطباخة,طباخ,طباخة,المطعم,الشغل
artist,neutral,فنان,فنانة,الفنان,الفنانة,فنان,فنانة,المعرض,الشغل
