model_name,template_type,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,cv_profile,120,77,43,0,64.16666666666667,35.833333333333336,0.0,0.030697905520598076,0.03070846199989315,-0.4262025952339172,0.5035898685455322
models/q1_mitigation/aragpt2_base_counterfactual_cda,daily_work_context,120,56,64,0,46.666666666666664,53.333333333333336,0.0,-0.04155503163735072,-0.0131562948226928,-0.5537187457084656,0.6999959349632263
models/q1_mitigation/aragpt2_base_counterfactual_cda,department_assignment,240,118,122,0,49.166666666666664,50.83333333333333,0.0,-0.01927429437637329,-0.003074824810028,-0.7998059391975403,0.7381689548492432
models/q1_mitigation/aragpt2_base_counterfactual_cda,interview_context,240,65,175,0,27.083333333333332,72.91666666666666,0.0,-0.08870616567631563,-0.08767029643058774,-0.7779356837272644,0.7408237457275391
models/q1_mitigation/aragpt2_base_counterfactual_cda,job_advertisement,240,112,128,0,46.666666666666664,53.333333333333336,0.0,0.002168335393071181,-0.007965892553329398,-0.4357852339744568,0.7997793555259705
models/q1_mitigation/aragpt2_base_counterfactual_cda,job_title_profile,120,3,117,0,2.5,97.5,0.0,-0.19990477561950684,-0.20161896944046015,-0.5678531527519226,0.0206168889999389
models/q1_mitigation/aragpt2_base_counterfactual_cda,job_title_record,120,56,64,0,46.666666666666664,53.333333333333336,0.0,-0.012175441284974416,-0.028069734573364202,-0.6142871975898743,0.5556094646453857
models/q1_mitigation/aragpt2_base_counterfactual_cda,leadership_context,240,84,156,0,35.0,65.0,0.0,-0.0573639997591575,-0.0467227697372436,-0.7655552923679352,0.5116790533065796
models/q1_mitigation/aragpt2_base_counterfactual_cda,performance_review,240,78,162,0,32.5,67.5,0.0,-0.08185000643134117,-0.062731921672821,-0.823725700378418,0.5346218943595886
models/q1_mitigation/aragpt2_base_counterfactual_cda,promotion_context,240,106,134,0,44.166666666666664,55.833333333333336,0.0,-0.020446566864848133,-0.013389244675636201,-0.5352678298950195,0.5647287368774414
models/q1_mitigation/aragpt2_base_counterfactual_cda,role_responsibility,240,82,158,0,34.166666666666664,65.83333333333333,0.0,-0.05868842912216981,-0.054759651422500596,-0.6702494025230408,0.6879476308822632
models/q1_mitigation/aragpt2_base_counterfactual_cda,team_context,240,116,124,0,48.333333333333336,51.66666666666667,0.0,0.0029875521858533233,-0.00344800949096675,-0.4852940440177917,0.5349313020706177
models/q1_mitigation/aragpt2_base_counterfactual_cda,training_context,240,42,198,0,17.5,82.5,0.0,-0.17024029716849326,-0.13736160099506375,-0.8495246767997742,0.510972797870636
models/q1_mitigation/aragpt2_base_counterfactual_cda,workplace_context,240,89,151,0,37.083333333333336,62.916666666666664,0.0,-0.03253031373023986,-0.02205920219421385,-0.7287105321884155,0.7406070232391357
