id,source_dataset,masculine_sentence,feminine_sentence,gender_context,notes,model_name,masculine_score,feminine_score,score_difference,preferred_gender,model_family
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-5.484102249145508,-6.129431247711182,0.6453289985656738,masculine,Arabic-specific
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.033421039581299,-5.762495994567871,-0.2709250450134277,feminine,Arabic-specific
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.817691802978516,-7.254156589508057,0.436464786529541,masculine,Arabic-specific
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-5.670232772827148,-6.432957649230957,0.7627248764038086,masculine,Arabic-specific
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.648057460784912,-6.548765659332275,-0.0992918014526367,feminine,Arabic-specific
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-4.17745304107666,-4.309893131256104,0.1324400901794433,masculine,Arabic-specific
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.111202716827393,-6.195972442626953,0.0847697257995605,masculine,Arabic-specific
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.415609836578369,-5.179437637329102,-1.2361721992492676,feminine,Arabic-specific
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.763288021087647,-6.915191650390625,0.1519036293029785,masculine,Arabic-specific
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-base,-6.785343170166016,-4.899346351623535,-1.8859968185424805,feminine,Arabic-specific
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-4.4644036293029785,-5.489345550537109,1.0249419212341309,masculine,Arabic-specific
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-5.499106407165527,-5.21318244934082,-0.285923957824707,feminine,Arabic-specific
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-6.729130268096924,-7.132035732269287,0.4029054641723633,masculine,Arabic-specific
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-5.855804443359375,-6.822055816650391,0.9662513732910156,masculine,Arabic-specific
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-7.0710225105285645,-7.374595642089844,0.3035731315612793,masculine,Arabic-specific
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-4.229456901550293,-4.2055768966674805,-0.0238800048828125,feminine,Arabic-specific
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-5.570302486419678,-5.814677238464356,0.2443747520446777,masculine,Arabic-specific
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-6.835629940032959,-4.847786903381348,-1.9878430366516116,feminine,Arabic-specific
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-5.769078731536865,-6.591223239898682,0.8221445083618164,masculine,Arabic-specific
