model_name,template_id,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_daily_work_context,120,56,64,0,46.666666666666664,53.333333333333336,0.0,-0.04155503163735072,-0.0131562948226928,-0.5537187457084656,0.6999959349632263
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_department_assignment,120,28,92,0,23.333333333333332,76.66666666666667,0.0,-0.15579222689072292,-0.12185913324356075,-0.7998059391975403,0.5755950212478638
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_interview_context,120,41,79,0,34.166666666666664,65.83333333333333,0.0,-0.04596457878748575,-0.061368823051452595,-0.509225606918335,0.7408237457275391
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_job_ad,120,62,58,0,51.66666666666667,48.333333333333336,0.0,0.009311292320489885,0.0038164854049682,-0.3825125098228454,0.3804236650466919
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_job_title_profile,120,3,117,0,2.5,97.5,0.0,-0.19990477561950684,-0.20161896944046015,-0.5678531527519226,0.0206168889999389
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_leadership_context,120,61,59,0,50.83333333333333,49.166666666666664,0.0,0.0022716507315635706,0.0025875568389891997,-0.5847965478897095,0.5116790533065796
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_performance_review,120,57,63,0,47.5,52.5,0.0,-0.03587707504630089,-0.019213393330574,-0.6397507786750793,0.5346218943595886
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_promotion_context,120,45,75,0,37.5,62.5,0.0,-0.05261269956827163,-0.048660010099411,-0.5352678298950195,0.4358701705932617
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_role_responsibility,120,43,77,0,35.833333333333336,64.16666666666667,0.0,-0.08527746995290121,-0.07634872198104856,-0.6702494025230408,0.6551204919815063
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_team_dependency,120,45,75,0,37.5,62.5,0.0,-0.014481283972660686,-0.0320527851581573,-0.4852940440177917,0.520397424697876
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_training_context,120,33,87,0,27.500000000000004,72.5,0.0,-0.12266870712240537,-0.0974135398864746,-0.7924729585647583,0.510972797870636
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_egy_workplace_context,120,47,73,0,39.166666666666664,60.83333333333333,0.0,-0.05534886668125787,-0.034396767616271945,-0.7287105321884155,0.7406070232391357
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_cv_profile,120,77,43,0,64.16666666666667,35.833333333333336,0.0,0.030697905520598076,0.03070846199989315,-0.4262025952339172,0.5035898685455322
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_department_assignment,120,90,30,0,75.0,25.0,0.0,0.11724363813797632,0.1043305695056915,-0.3965872526168823,0.7381689548492432
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_interview_context,120,24,96,0,20.0,80.0,0.0,-0.1314477525651455,-0.11002773046493525,-0.7779356837272644,0.1755757927894592
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_job_ad,120,50,70,0,41.66666666666667,58.333333333333336,0.0,-0.0049746215343475205,-0.02168974280357355,-0.4357852339744568,0.7997793555259705
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_job_title_record,120,56,64,0,46.666666666666664,53.333333333333336,0.0,-0.012175441284974416,-0.028069734573364202,-0.6142871975898743,0.5556094646453857
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_leadership_context,120,23,97,0,19.166666666666668,80.83333333333333,0.0,-0.11699965024987856,-0.0919903665781021,-0.7655552923679352,0.2192597687244415
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_performance_review,120,21,99,0,17.5,82.5,0.0,-0.12782293781638143,-0.10825899243354795,-0.823725700378418,0.1370784044265747
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_promotion_context,120,61,59,0,50.83333333333333,49.166666666666664,0.0,0.011719565838575363,0.00547868013381955,-0.4751763939857483,0.5647287368774414
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_role_responsibility,120,39,81,0,32.5,67.5,0.0,-0.03209938829143841,-0.043886542320251395,-0.3998031616210937,0.6879476308822632
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_team_dependency,120,71,49,0,59.166666666666664,40.833333333333336,0.0,0.02045638834436734,0.011682569980621251,-0.4644324779510498,0.5349313020706177
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_training_context,120,9,111,0,7.5,92.5,0.0,-0.21781188721458117,-0.1975211352109909,-0.8495246767997742,0.1475411057472229
models/q1_mitigation/aragpt2_base_counterfactual_cda,v6_msa_workplace_context,120,42,78,0,35.0,65.0,0.0,-0.009711760779221836,-0.015293613076209949,-0.2055607140064239,0.3236273527145386
