id,source_dataset,masculine_sentence,feminine_sentence,gender_context,notes,model_name,masculine_score,feminine_score,score_difference,preferred_gender
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-5.04296875,-6.63671875,1.59375,masculine
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-5.91796875,-5.78125,-0.13671875,feminine
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.22265625,-5.41796875,-0.8046875,feminine
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-4.55078125,-4.71875,0.16796875,masculine
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-4.58203125,-4.859375,0.27734375,masculine
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-3.9921875,-5.15234375,1.16015625,masculine
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-4.015625,-5.16796875,1.15234375,masculine
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.765625,-5.75,-1.015625,feminine
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.3203125,-5.109375,-1.2109375,feminine
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.12890625,-4.359375,-1.76953125,feminine
