id,technical_contribution,description,evidence_file,result_file,thesis_value,evidence_exists,result_exists
C1,v2 main validated benchmark,"A controlled Arabic occupational gender-bias benchmark with 60 occupations, 4 templates, and 240 masculine-feminine sentence pairs.",data/occupational_benchmark/occupational_bias_v2.csv,results/occupational_benchmark_v2_all_models/combined_analysis/overall_by_model.csv,Provides the main validated empirical benchmark.,True,True
C2,Six-model causal LM evaluation,Evaluation of Arabic-specific and non-Arabic-specific causal language models using likelihood-based paired-sentence scoring.,results/occupational_benchmark_v2_all_models/combined_analysis/overall_by_model.csv,results/occupational_benchmark_v2_all_models/combined_analysis/family_summary.csv,Shows model-family differences in measured occupational gender preference.,True,False
C3,v3 expansion sensitivity benchmark,Expanded benchmark testing whether measured bias remains stable after increasing occupations and templates.,data/occupational_benchmark/occupational_bias_v3.csv,results/occupational_benchmark_v3_quick_models,Shows benchmark expansion can change measured bias direction.,True,True
C4,v3 controlled diagnostic benchmark,Diagnostic benchmark using expanded occupations with original v2-style templates.,data/occupational_benchmark/occupational_bias_v3_controlled.csv,results/occupational_benchmark_v3_controlled_quick_models,Separates occupation expansion effects from template expansion effects.,True,True
C5,v3 balanced stereotype-balanced benchmark,"Balanced benchmark with 90 occupations: 30 male-stereotyped, 30 female-stereotyped, and 30 neutral occupations.",data/occupational_benchmark/occupational_bias_v3_balanced.csv,results/occupational_benchmark_v3_balanced_quick_models,Tests whether stereotype balancing stabilizes measured bias direction.,True,True
C6,v4 template perturbation benchmark,"A template-perturbation benchmark with 90 balanced occupations, 8 templates, 6 semantic frames, 2 dialects, and 720 sentence pairs.",data/occupational_benchmark/occupational_bias_v4_template_perturbation.csv,results/occupational_benchmark_v4_template_perturbation_all_models,"Tests template, semantic-frame, and dialect sensitivity.",True,True
C7,Template-Induced Bias Direction Volatility,A model-level diagnostic showing whether bias direction flips across templates.,results/occupational_benchmark_v4_template_perturbation_all_models/combined_sensitivity_analysis/template_volatility_by_model.csv,results/occupational_benchmark_v4_template_perturbation_all_models/combined_sensitivity_analysis/template_volatility_by_model.csv,Shows all tested models can change gender-preference direction across templates.,True,True
C8,Dialect sensitivity analysis,Comparison of MSA and Egyptian Arabic contexts across models.,results/occupational_benchmark_v4_template_perturbation_all_models/combined_sensitivity_analysis/dialect_shift_by_model.csv,results/occupational_benchmark_v4_template_perturbation_all_models/combined_sensitivity_analysis/dialect_shift_by_model.csv,Shows Arabic bias measurement can differ by dialect.,True,True
C9,Statistical testing and effect-size analysis,"Chi-square tests and Cramér’s V effect sizes for model, model family, template, semantic frame, dialect, field, and stereotype label.",results/occupational_benchmark_v4_template_perturbation_all_models/statistical_tests/v4_overall_chi_square_tests.csv,results/occupational_benchmark_v4_template_perturbation_all_models/effect_sizes/v4_cramers_v_effect_sizes.csv,Shows template ID has the strongest practical effect in v4.,True,True
C10,External dataset pilot integration,APGC and ArGAN pilot experiments for external Arabic gender-bias dataset enrichment.,data/external_datasets,results/external_datasets,Shows extensibility beyond the manually constructed benchmark.,True,True
C11,v5 job-title-specific benchmark,"A job-title-specific benchmark with 90 balanced occupations, 6 templates, 2 dialects, and 540 sentence pairs.",data/occupational_benchmark/occupational_bias_v5_job_titles.csv,results/occupational_benchmark_v5_job_titles_quick_models,Separates explicit job-title preference from broader occupational sentence-context preference.,True,True
C12,v4-v5 context comparison,Comparison between broader v4 occupational sentence contexts and explicit v5 job-title contexts.,results/v4_v5_job_title_comparison/v4_v5_quick_model_comparison.csv,docs/occupational_scope/v4_v5_job_title_context_comparison.md,Strengthens the claim that measured bias changes with benchmark context.,True,True
