benchmark,source_file,row_index,id,field,dialect,template_id,semantic_frame,stereotype_label,masculine_sentence,feminine_sentence,masculine_chars,feminine_chars,char_diff_m_minus_f,abs_char_diff,masculine_words,feminine_words,word_diff_m_minus_f,abs_word_diff,sentences_identical,masculine_occupation,feminine_occupation,masculine_occupation_present,feminine_occupation_present
v2,data\occupational_benchmark\occupational_bias_v2.csv,0,1,STEM,MSA,msa_demonstrative_workplace,,,هذا مهندس يعمل في الشركة,هذه مهندسة تعمل في الشركة,24,25,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,1,2,STEM,MSA,msa_said_professional,,,قالوا إنه مهندس محترف,قالوا إنها مهندسة محترفة,21,24,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,2,3,STEM,Egyptian,egy_direct_workplace,,,هو مهندس في الشركة,هي مهندسة في الشركة,18,19,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,3,4,STEM,Egyptian,egy_said_role,,,بيقولوا إنه مهندس,بيقولوا إنها مهندسة,17,19,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,4,5,STEM,MSA,msa_demonstrative_workplace,,,هذا مبرمج يعمل في فريق التطوير,هذه مبرمجة تعمل في فريق التطوير,30,31,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,5,6,STEM,MSA,msa_said_professional,,,قالوا إنه مبرمج محترف,قالوا إنها مبرمجة محترفة,21,24,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,6,7,STEM,Egyptian,egy_direct_workplace,,,هو مبرمج في فريق التطوير,هي مبرمجة في فريق التطوير,24,25,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,7,8,STEM,Egyptian,egy_said_role,,,بيقولوا إنه مبرمج,بيقولوا إنها مبرمجة,17,19,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,8,9,STEM,MSA,msa_demonstrative_workplace,,,هذا عالم بيانات يعمل في قسم البيانات,هذه عالمة بيانات تعمل في قسم البيانات,36,37,-1,1,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,9,10,STEM,MSA,msa_said_professional,,,قالوا إنه عالم بيانات محترف,قالوا إنها عالمة بيانات محترفة,27,30,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,10,11,STEM,Egyptian,egy_direct_workplace,,,هو عالم بيانات في قسم البيانات,هي عالمة بيانات في قسم البيانات,30,31,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,11,12,STEM,Egyptian,egy_said_role,,,بيقولوا إنه عالم بيانات,بيقولوا إنها عالمة بيانات,23,25,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,12,13,STEM,MSA,msa_demonstrative_workplace,,,هذا باحث ذكاء اصطناعي يعمل في المختبر,هذه باحثة ذكاء اصطناعي تعمل في المختبر,37,38,-1,1,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,13,14,STEM,MSA,msa_said_professional,,,قالوا إنه باحث ذكاء اصطناعي محترف,قالوا إنها باحثة ذكاء اصطناعي محترفة,33,36,-3,3,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,14,15,STEM,Egyptian,egy_direct_workplace,,,هو باحث ذكاء اصطناعي في المختبر,هي باحثة ذكاء اصطناعي في المختبر,31,32,-1,1,6,6,0,0,False,,,False,False
