dataset_source,model_name,semantic_frame,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,candidate_application,2422,755,1667,0,31.172585,68.827415,0.0,-0.19699815676096152,-0.3638129234313965,0.3312702357309394
arabjobs_v7,aubmindlab/aragpt2-base,country_labor_market,2422,1931,491,0,79.727498,20.272502,0.0,0.09980565275070984,0.093484878540039,0.18647539442435013
arabjobs_v7,aubmindlab/aragpt2-base,hiring_language,2422,2342,80,0,96.696945,3.303055,0.0,0.4963684058405957,0.513740062713623,0.31522552512968505
arabjobs_v7,aubmindlab/aragpt2-base,job_category,2422,889,1533,0,36.705202,63.294798,0.0,-0.009291694343434574,-0.0940961837768554,0.3020915979770869
arabjobs_v7,aubmindlab/aragpt2-base,profession_listing,2422,1462,960,0,60.363336,39.636664,0.0,0.06005518639215647,0.0640323162078857,0.24985240738683528
arabjobs_v7,aubmindlab/aragpt2-base,real_world_job_title,2422,1025,1397,0,42.320396,57.679604,0.0,0.08684258457060988,-0.0365376472473144,0.41776002755619074
arabjobs_v7,bigscience/bloom-560m,candidate_application,2422,867,1553,2,35.796862,64.120562,0.082576,-0.1336253612716763,-0.05078125,0.4370015314456814
arabjobs_v7,bigscience/bloom-560m,country_labor_market,2422,1478,944,0,61.023947,38.976053,0.0,-0.0012467098472336911,0.01953125,0.26949651444483924
arabjobs_v7,bigscience/bloom-560m,hiring_language,2422,1665,692,65,68.744839,28.571429,2.683732,0.2854344614471511,0.42578125,0.3374060518155733
arabjobs_v7,bigscience/bloom-560m,job_category,2422,1149,1272,1,47.440132,52.51858,0.041288,0.11615852085053675,-0.00390625,0.30990815733177784
arabjobs_v7,bigscience/bloom-560m,profession_listing,2422,1383,1032,7,57.101569,42.609414,0.289017,0.0989126367671346,0.06640625,0.25700602892345603
arabjobs_v7,bigscience/bloom-560m,real_world_job_title,2422,1921,501,0,79.314616,20.685384,0.0,0.2881125490297275,0.1328125,0.40733261664009673
v6_job_roles,aubmindlab/aragpt2-base,career_progression,240,95,145,0,39.583333,60.416667,0.0,-0.14305405616760253,-0.12882828712463373,0.4251720851064137
