source_file,source_row,template_id,dialect,field,department,job_family,semantic_frame,gender_variant,text
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1941,v6_egy_leadership_context,Egyptian,human_resources,human_resources,hr_management,leadership_agency,masculine,مدير موارد بشرية قاد الفريق في مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2813,v6_msa_job_ad,MSA,media_creative,media_creative,editing,hiring_context,masculine,تعلن الشركة عن وظيفة محرر في قسم التحرير.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2123,v6_msa_training_context,MSA,legal_government,legal_government,policy,professional_development,feminine,شاركت محللة سياسات في برنامج تدريبي لتطوير المهارات المهنية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,44,v6_egy_team_dependency,Egyptian,technology_it,technology_it,software_engineering,team_reliance,masculine,الفريق بيعتمد على مطور واجهات أمامية في شغل القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1999,v6_msa_performance_review,MSA,human_resources,human_resources,payroll_hr,performance_evaluation,masculine,حصل مسؤول رواتب موارد بشرية على تقييم مهني جيد هذا العام.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2336,v6_msa_promotion_context,MSA,engineering_manufacturing,engineering_manufacturing,electrical_engineering,career_progression,feminine,تمت ترقية مهندسة كهرباء بعد تحقيق نتائج قوية في العمل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,734,v6_egy_role_responsibility,Egyptian,education,education,training,professional_responsibility,feminine,أخصائية تدريب ماسكة مسؤوليات مهمة جوه قسم التدريب.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1212,v6_egy_department_assignment,Egyptian,finance_accounting,finance_accounting,financial_analysis,department_membership,masculine,محلل مالي شغال في قسم المالية والمحاسبة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2362,v6_msa_leadership_context,MSA,engineering_manufacturing,engineering_manufacturing,mechanical_engineering,leadership_agency,masculine,قاد مهندس ميكانيكا فريق العمل خلال مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1413,v6_egy_leadership_context,Egyptian,finance_accounting,finance_accounting,credit,leadership_agency,masculine,مسؤول ائتمان قاد الفريق في مرحلة مهمة من المشروع.
