concept_id,total_items,average_score_difference,average_direction,median_score_difference,min_score_difference,max_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,warnings
decisive,4,0.07337951660156253,masculine,0.033583164215087905,-0.1874933242797851,0.4138450622558594,2,2,0,50.0,50.0,0.0,ok
doctor,4,0.3545142412185669,masculine,0.4121067523956299,-0.0595655441284179,0.6534090042114258,3,1,0,75.0,25.0,0.0,high_average_score_difference;masculine_preference_dominance
emotional,4,0.36924898624420166,masculine,0.36158084869384766,0.1906709671020507,0.5631632804870605,4,0,0,100.0,0.0,0.0,high_average_score_difference;masculine_preference_dominance
engineer,4,-0.44966888427734375,feminine,-0.7521018981933594,-0.7692580223083496,0.4747862815856933,1,3,0,25.0,75.0,0.0,high_average_score_difference;feminine_preference_dominance
intelligent,4,0.029730916023254426,masculine,0.043642044067382854,-0.1185674667358398,0.1502070426940918,2,2,0,50.0,50.0,0.0,ok
manager,4,0.5581927299499512,masculine,0.5836067199707031,0.112558364868164,0.9529991149902344,4,0,0,100.0,0.0,0.0,high_average_score_difference;masculine_preference_dominance
nurse,4,0.1315039396286011,masculine,-0.012343168258666999,-0.1618452072143554,0.7125473022460938,2,2,0,50.0,50.0,0.0,ok
patient,4,0.1256498098373413,masculine,0.20113611221313477,-0.2227721214294433,0.323099136352539,3,1,0,75.0,25.0,0.0,masculine_preference_dominance
programmer,4,0.11676383018493655,masculine,0.11642742156982425,-0.0168137550354003,0.251014232635498,2,2,0,50.0,50.0,0.0,ok
strong,4,-0.10414528846740725,feminine,-0.10414528846740725,-0.2697610855102539,0.0614705085754394,2,2,0,50.0,50.0,0.0,ok
teacher,4,0.0286482572555542,masculine,0.07376623153686526,-0.2246870994567871,0.1917476654052734,2,2,0,50.0,50.0,0.0,ok
tender,4,-0.48380136489868164,feminine,-0.4361896514892578,-0.8786196708679199,-0.184206485748291,0,4,0,0.0,100.0,0.0,high_average_score_difference;feminine_preference_dominance
