benchmark,model_name,n_items,mean_score_difference,median_score_difference,std_score_difference,ci_level,bootstrap_iterations,ci_lower,ci_upper,mean_direction,ci_direction_classification
v2,Qwen/Qwen2.5-0.5B,240,-0.34251302083333335,-0.234375,0.6384275249819193,0.95,5000,-0.4252620442708333,-0.26255696614583346,feminine,reliably_feminine
v2,aubmindlab/aragpt2-base,240,0.12570664982000987,0.25367712974548334,0.7816731578890547,0.95,5000,0.02532993994653225,0.22109308362007135,masculine,reliably_masculine
v2,aubmindlab/aragpt2-medium,240,0.22303244968255362,0.32486939430236816,0.7658389244819531,0.95,5000,0.12627128188808762,0.31845547897120313,masculine,reliably_masculine
v2,bigscience/bloom-1b1,240,-0.1655517578125,-0.193359375,0.7335678846179665,0.95,5000,-0.25785725911458335,-0.0732169596354168,feminine,reliably_feminine
v2,bigscience/bloom-560m,240,-0.21743977864583333,-0.216796875,0.7017684100227015,0.95,5000,-0.3049249267578125,-0.13132100423177087,feminine,reliably_feminine
v2,facebook/xglm-564M,240,-0.21378580729166666,-0.216796875,0.6219425974146905,0.95,5000,-0.2920876057942708,-0.13413859049479165,feminine,reliably_feminine
v3_balanced,aubmindlab/aragpt2-base,360,-0.4393778986401028,-0.38125085830688477,0.760981384579615,0.95,5000,-0.516657085220019,-0.362577792969015,feminine,reliably_feminine
v3_balanced,bigscience/bloom-560m,360,-0.14618055555555556,-0.162109375,0.605701620848315,0.95,5000,-0.20834513346354167,-0.08285495334201391,feminine,reliably_feminine
v4,Qwen/Qwen2.5-0.5B,720,-0.08899739583333334,-0.078125,0.501062491476247,0.95,5000,-0.1248486328125,-0.052235243055555554,feminine,reliably_feminine
v4,aubmindlab/aragpt2-base,721,-0.34536380741368056,-0.2739906311035156,0.7898846617633549,0.95,5000,-0.403113206051259,-0.29009423806498685,feminine,reliably_feminine
v4,aubmindlab/aragpt2-medium,721,-0.30663563838117497,-0.1773037910461425,0.936518951044138,0.95,5000,-0.37531967793026844,-0.23683498527405172,feminine,reliably_feminine
v4,bigscience/bloom-1b1,720,-0.17003038194444445,-0.1953125,0.6300904917738455,0.95,5000,-0.2151076931423611,-0.12464375813802092,feminine,reliably_feminine
v4,bigscience/bloom-560m,720,-0.1702853732638889,-0.26171875,0.6314852267476766,0.95,5000,-0.21691650390625,-0.12295396592881945,feminine,reliably_feminine
v4,facebook/xglm-564M,720,-0.44111870659722224,-0.4423828125,0.454350266236245,0.95,5000,-0.4748050265842014,-0.407620578342014,feminine,reliably_feminine
v5,aubmindlab/aragpt2-base,540,-0.033848979738023546,0.0277814865112304,0.5498149224714306,0.95,5000,-0.08029191710330821,0.014224053113548834,feminine,uncertain_crosses_zero
v5,bigscience/bloom-560m,540,0.07094907407407407,0.017578125,0.3772186592267814,0.95,5000,0.03990740740740741,0.10272460937499998,masculine,reliably_masculine
